startTime,endTime,value
2025-05-04T23:45:00.000Z,2025-05-05T00:00:00.000Z,0
2025-05-04T23:30:00.000Z,2025-05-04T23:45:00.000Z,0
2025-05-04T23:15:00.000Z,2025-05-04T23:30:00.000Z,0
2025-05-04T23:00:00.000Z,2025-05-04T23:15:00.000Z,0
2025-05-04T22:45:00.000Z,2025-05-04T23:00:00.000Z,0
2025-05-04T22:30:00.000Z,2025-05-04T22:45:00.000Z,0
2025-05-04T22:15:00.000Z,2025-05-04T22:30:00.000Z,0
2025-05-04T22:00:00.000Z,2025-05-04T22:15:00.000Z,0
2025-05-04T21:45:00.000Z,2025-05-04T22:00:00.000Z,0
2025-05-04T21:30:00.000Z,2025-05-04T21:45:00.000Z,0
2025-05-04T21:15:00.000Z,2025-05-04T21:30:00.000Z,0
2025-05-04T21:00:00.000Z,2025-05-04T21:15:00.000Z,0
2025-05-04T20:45:00.000Z,2025-05-04T21:00:00.000Z,0
2025-05-04T20:30:00.000Z,2025-05-04T20:45:00.000Z,0
2025-05-04T20:15:00.000Z,2025-05-04T20:30:00.000Z,0
2025-05-04T20:00:00.000Z,2025-05-04T20:15:00.000Z,0
2025-05-04T19:45:00.000Z,2025-05-04T20:00:00.000Z,0
2025-05-04T19:30:00.000Z,2025-05-04T19:45:00.000Z,0
2025-05-04T19:15:00.000Z,2025-05-04T19:30:00.000Z,0
2025-05-04T19:00:00.000Z,2025-05-04T19:15:00.000Z,0
2025-05-04T18:45:00.000Z,2025-05-04T19:00:00.000Z,0
2025-05-04T18:30:00.000Z,2025-05-04T18:45:00.000Z,0
2025-05-04T18:15:00.000Z,2025-05-04T18:30:00.000Z,0
2025-05-04T18:00:00.000Z,2025-05-04T18:15:00.000Z,0
2025-05-04T17:45:00.000Z,2025-05-04T18:00:00.000Z,50.4
2025-05-04T17:30:00.000Z,2025-05-04T17:45:00.000Z,58.8
2025-05-04T17:15:00.000Z,2025-05-04T17:30:00.000Z,67.2
2025-05-04T17:00:00.000Z,2025-05-04T17:15:00.000Z,75.6
2025-05-04T16:45:00.000Z,2025-05-04T17:00:00.000Z,135.6
2025-05-04T16:30:00.000Z,2025-05-04T16:45:00.000Z,148.1
2025-05-04T16:15:00.000Z,2025-05-04T16:30:00.000Z,160.7
2025-05-04T16:00:00.000Z,2025-05-04T16:15:00.000Z,173.2
2025-05-04T15:45:00.000Z,2025-05-04T16:00:00.000Z,252.6
2025-05-04T15:30:00.000Z,2025-05-04T15:45:00.000Z,269
2025-05-04T15:15:00.000Z,2025-05-04T15:30:00.000Z,285.4
2025-05-04T15:00:00.000Z,2025-05-04T15:15:00.000Z,301.7
2025-05-04T14:45:00.000Z,2025-05-04T15:00:00.000Z,382.2
2025-05-04T14:30:00.000Z,2025-05-04T14:45:00.000Z,399.7
2025-05-04T14:15:00.000Z,2025-05-04T14:30:00.000Z,417.2
2025-05-04T14:00:00.000Z,2025-05-04T14:15:00.000Z,434.6
2025-05-04T13:45:00.000Z,2025-05-04T14:00:00.000Z,473.8
2025-05-04T13:30:00.000Z,2025-05-04T13:45:00.000Z,484.7
2025-05-04T13:15:00.000Z,2025-05-04T13:30:00.000Z,495.6
2025-05-04T13:00:00.000Z,2025-05-04T13:15:00.000Z,506.5
2025-05-04T12:45:00.000Z,2025-05-04T13:00:00.000Z,570.9
2025-05-04T12:30:00.000Z,2025-05-04T12:45:00.000Z,582
2025-05-04T12:15:00.000Z,2025-05-04T12:30:00.000Z,593.1
2025-05-04T12:00:00.000Z,2025-05-04T12:15:00.000Z,604.2
2025-05-04T11:45:00.000Z,2025-05-04T12:00:00.000Z,607.4
2025-05-04T11:30:00.000Z,2025-05-04T11:45:00.000Z,609.6
2025-05-04T11:15:00.000Z,2025-05-04T11:30:00.000Z,611.1
2025-05-04T11:00:00.000Z,2025-05-04T11:15:00.000Z,613.3
