startTime,endTime,value
2025-05-04T23:45:00.000Z,2025-05-05T00:00:00.000Z,4845.5
2025-05-04T23:30:00.000Z,2025-05-04T23:45:00.000Z,4706.95
2025-05-04T23:15:00.000Z,2025-05-04T23:30:00.000Z,4640.25
2025-05-04T23:00:00.000Z,2025-05-04T23:15:00.000Z,4612.32
2025-05-04T22:45:00.000Z,2025-05-04T23:00:00.000Z,4490.26
2025-05-04T22:30:00.000Z,2025-05-04T22:45:00.000Z,4678.51
2025-05-04T22:15:00.000Z,2025-05-04T22:30:00.000Z,4794.15
2025-05-04T22:00:00.000Z,2025-05-04T22:15:00.000Z,4475.32
2025-05-04T21:45:00.000Z,2025-05-04T22:00:00.000Z,4348.95
2025-05-04T21:30:00.000Z,2025-05-04T21:45:00.000Z,4336.87
2025-05-04T21:15:00.000Z,2025-05-04T21:30:00.000Z,4382.2
2025-05-04T21:00:00.000Z,2025-05-04T21:15:00.000Z,4326.37
2025-05-04T20:45:00.000Z,2025-05-04T21:00:00.000Z,4314.48
2025-05-04T20:30:00.000Z,2025-05-04T20:45:00.000Z,4411.94
2025-05-04T20:15:00.000Z,2025-05-04T20:30:00.000Z,4491.55
2025-05-04T20:00:00.000Z,2025-05-04T20:15:00.000Z,4657.64
2025-05-04T19:45:00.000Z,2025-05-04T20:00:00.000Z,4697.29
2025-05-04T19:30:00.000Z,2025-05-04T19:45:00.000Z,4678.94
2025-05-04T19:15:00.000Z,2025-05-04T19:30:00.000Z,4602.11
2025-05-04T19:00:00.000Z,2025-05-04T19:15:00.000Z,4534.76
2025-05-04T18:45:00.000Z,2025-05-04T19:00:00.000Z,4438.8
2025-05-04T18:30:00.000Z,2025-05-04T18:45:00.000Z,4167.03
2025-05-04T18:15:00.000Z,2025-05-04T18:30:00.000Z,4171.42
2025-05-04T18:00:00.000Z,2025-05-04T18:15:00.000Z,3969.82
2025-05-04T17:45:00.000Z,2025-05-04T18:00:00.000Z,4143.5
2025-05-04T17:30:00.000Z,2025-05-04T17:45:00.000Z,4309.46
2025-05-04T17:15:00.000Z,2025-05-04T17:30:00.000Z,4190.42
2025-05-04T17:00:00.000Z,2025-05-04T17:15:00.000Z,4250.99
2025-05-04T16:45:00.000Z,2025-05-04T17:00:00.000Z,4080.06
2025-05-04T16:30:00.000Z,2025-05-04T16:45:00.000Z,4284.46
2025-05-04T16:15:00.000Z,2025-05-04T16:30:00.000Z,4656.89
2025-05-04T16:00:00.000Z,2025-05-04T16:15:00.000Z,4915.85
2025-05-04T15:45:00.000Z,2025-05-04T16:00:00.000Z,4816.68
2025-05-04T15:30:00.000Z,2025-05-04T15:45:00.000Z,5053.2
2025-05-04T15:15:00.000Z,2025-05-04T15:30:00.000Z,5030.69
2025-05-04T15:00:00.000Z,2025-05-04T15:15:00.000Z,5029.43
2025-05-04T14:45:00.000Z,2025-05-04T15:00:00.000Z,4523.87
2025-05-04T14:30:00.000Z,2025-05-04T14:45:00.000Z,4556.09
2025-05-04T14:15:00.000Z,2025-05-04T14:30:00.000Z,4485.88
2025-05-04T14:00:00.000Z,2025-05-04T14:15:00.000Z,4850.76
2025-05-04T13:45:00.000Z,2025-05-04T14:00:00.000Z,4404.07
2025-05-04T13:30:00.000Z,2025-05-04T13:45:00.000Z,3778.24
2025-05-04T13:15:00.000Z,2025-05-04T13:30:00.000Z,3409.15
2025-05-04T13:00:00.000Z,2025-05-04T13:15:00.000Z,3720.18
2025-05-04T12:45:00.000Z,2025-05-04T13:00:00.000Z,3614.45
2025-05-04T12:30:00.000Z,2025-05-04T12:45:00.000Z,3106.14
2025-05-04T12:15:00.000Z,2025-05-04T12:30:00.000Z,3231.06
2025-05-04T12:00:00.000Z,2025-05-04T12:15:00.000Z,3199.32
2025-05-04T11:45:00.000Z,2025-05-04T12:00:00.000Z,3424.71
2025-05-04T11:30:00.000Z,2025-05-04T11:45:00.000Z,3448.81
2025-05-04T11:15:00.000Z,2025-05-04T11:30:00.000Z,3314.16
2025-05-04T11:00:00.000Z,2025-05-04T11:15:00.000Z,3312.77
2025-05-04T10:45:00.000Z,2025-05-04T11:00:00.000Z,3522.15
2025-05-04T10:30:00.000Z,2025-05-04T10:45:00.000Z,3987.69
2025-05-04T10:15:00.000Z,2025-05-04T10:30:00.000Z,3999.2
2025-05-04T10:00:00.000Z,2025-05-04T10:15:00.000Z,4010.6
2025-05-04T09:45:00.000Z,2025-05-04T10:00:00.000Z,4366.58
2025-05-04T09:30:00.000Z,2025-05-04T09:45:00.000Z,4142.42
2025-05-04T09:15:00.000Z,2025-05-04T09:30:00.000Z,4052.3
2025-05-04T09:00:00.000Z,2025-05-04T09:15:00.000Z,4279.09
2025-05-04T08:45:00.000Z,2025-05-04T09:00:00.000Z,4235.58
2025-05-04T08:30:00.000Z,2025-05-04T08:45:00.000Z,4050.12
2025-05-04T08:15:00.000Z,2025-05-04T08:30:00.000Z,3952.52
2025-05-04T08:00:00.000Z,2025-05-04T08:15:00.000Z,3819.95
2025-05-04T07:45:00.000Z,2025-05-04T08:00:00.000Z,3723.8
2025-05-04T07:30:00.000Z,2025-05-04T07:45:00.000Z,3716.88
2025-05-04T07:15:00.000Z,2025-05-04T07:30:00.000Z,3805.4
2025-05-04T07:00:00.000Z,2025-05-04T07:15:00.000Z,3762.04
2025-05-04T06:45:00.000Z,2025-05-04T07:00:00.000Z,4027.91
2025-05-04T06:30:00.000Z,2025-05-04T06:45:00.000Z,4312.82
2025-05-04T06:15:00.000Z,2025-05-04T06:30:00.000Z,4347.74
2025-05-04T06:00:00.000Z,2025-05-04T06:15:00.000Z,4185.86
2025-05-04T05:45:00.000Z,2025-05-04T06:00:00.000Z,4234.3
2025-05-04T05:30:00.000Z,2025-05-04T05:45:00.000Z,4146.43
2025-05-04T05:15:00.000Z,2025-05-04T05:30:00.000Z,4012.17
2025-05-04T05:00:00.000Z,2025-05-04T05:15:00.000Z,4010.71
2025-05-04T04:45:00.000Z,2025-05-04T05:00:00.000Z,4050.79
2025-05-04T04:30:00.000Z,2025-05-04T04:45:00.000Z,3998.68
2025-05-04T04:15:00.000Z,2025-05-04T04:30:00.000Z,4060.59
2025-05-04T04:00:00.000Z,2025-05-04T04:15:00.000Z,3822.57
